job location,salary,Employment Status,Educational requirments,job title,company name
Dhaka,,Full-time,"Bachelor of Science (BSc),CSE background is preferred,Minimum CGPA must be 3:00 out of 4.00 in Bachelor Degree with no 3rd division/class equivalent in any academic level",Software Engineer,Samsung R&D Institute Bangladesh Ltd.
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE, Bachelor of Business Administration (BBA)",Business Transformation Project Manager,IPDC Finance Limited
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE,Preferred Certification & Training required:,Certified Data Centre Professional ,CISA certification preferred,Microsoft Certified Professional. ,Trained on Oracle Data Base Administration. ,Trained on Microsoft Exchange Server. ,Trained on Windows 2008 Server.",Infrastructure Manager/ Solution Architect,IPDC Finance Limited
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc) in Computer ScienceEngineering or a related field is preferred,JavaScript Developer (React),Polymath
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc) in Computer Science Engineering or a related field is preferred,Django Developer,Polymath
Dhaka (Tejgaon Industrial Area),"
                                                            Tk. 15000 - 20000 (Monthly)
                                                            ",Full-time,Diploma in Computer Engineering.,IT Officer,Posh Garments Ltd.
Dhaka,,Internship,"Bachelor of Computer Application (BCA) in CSE, Bachelor of Computer Application (BCA) in Electrical & Electronic Engineering",Intern,NK Group
Dhaka Division,"
                                                            ",Full-time,"Bachelor of Computer Application (BCA),Preferred Professional Certification: CCNA,linux,windows",IT/ Network Engineer,vivo Mobile
Cox's Bazar,"
                                                            ",Contractual,Completion of Secondary school or equivalent technical school with training/certificate in Telecommunication and Information Technology;,Senior ICT Assistant,United Nations High Commissioner for Refugees (UNHCR) Representation in Bangladesh
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Diploma in Architecture or Interior Design / Professional 3D Max Course,Training/Trade Course: Professional 3D Max Course",3D Visualizer and Graphic Designer,Architects Limited
Cumilla,"
                                                            ",Full-time,04 years diploma in CSE/CSIT/ICT from recognized polytechnique or institutions.,IT Technician,"Bangladesh Army International University of Science and Technology (BAIUST) Comilla Cantonment, Comilla"
Cumilla,"
                                                            ",Full-time,BSc in CSE/CSIT/CSTE/ICT with minimum CGPA 3.00.,Assistant Server and Security Engineer,"Bangladesh Army International University of Science and Technology (BAIUST) Comilla Cantonment, Comilla"
Dhaka,,Full-time,B.Sc or M.Sc in Computer Science/Engineering or equivalent,Software Engineer in the Cloud (DevOps),Escenic Asia Ltd.
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,B.Sc in CSE or CS from any reputed University,Programmer (Dot Net),Convince Computer Limited
Cumilla,"
                                                            ",Full-time,BSc in CSE./CSIT/ICT/CSTE with minimum CGPA 3.00 out of 4.00 scale.,Assistant Software Engineer,"Bangladesh Army International University of Science and Technology (BAIUST) Comilla Cantonment, Comilla"
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"HSC,Skills Required: Graphic Design (Computer Aided),Graphics Design",Graphics Designer,mohanogor.com
Dhaka,,"Full-time, Part-time, Contractual, Internship","Bachelor degree in any discipline, Masters degree in any discipline,Skills Required: Web Developer/ Web Designer,PHP,Web Design,Web Developer",Web Developer,Mates Global
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE,B.Sc in Computer Science/other science graduate is highly preferable.,Sharp knowledge on ZEND Framework, CodeIgniter will be added extra credit which might be considering other educational requirement.",Programmer/ Web Application Developer,Promiti Computers & Network (Pvt.) Ltd.
Anywhere in Bangladesh,,"Full-time, Part-time, Contractual, Internship","Bachelor degree in any discipline,Skills Required: Adobe Photoshop/ Illustrator,WordPress,HTML5 & CSS3",Graphics Designer,Mates Global
Dhaka (Gulshan),,Full-time,"Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Computer Engineering, Bachelor of Science (BSc) in Computer Science, Bachelor of Science (BSc) in CSIT,University of Dhaka,Dhaka University of Engineering and Technology,Military Institute of Science and Technology (MIST),Rajshahi University of Engineering and Technology,Chittagong University of Engineering and Technology students will get preference",Programmer (Software Development),Fiber @ Home Ltd.
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE,Skills Required: Java EE/ J2EE,MySQL,Java,AngularJS","Associate Manager, JAVA",BRAC IT Services Limited
Dhaka,"
                                                            Tk. 50000 - 60000 (Monthly)
                                                            ",Full-time,"BS/ CSE/ CIS ,Or MS in Computer Science/ MBA,Or B Sc/ B Com / BA and having Android related IT certification",Mobile Application Developer,Shakti Foundation for Disadvantaged Women.
Bagerhat (Mongla),"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in C.S.E,Bachelor degree in Information Technology, Computer Science or relevant field,Additional certification in Microsoft, Linux, Cisco or similar technologies is a plus",Executive IT,VIP Industries Bangladesh Private Limited
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor in Engineering (BEngg),Skills Required: MySQL,PHP,WordPress,HTML5 & CSS3,jQuery",Wordpress Developer,REVE Systems
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Completion of Master's in Computer Science or Relevant Field from Foreign University.,Senior Software Engineer,Techone Global
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Essential: Master degree in Information Technology or computer science or related field.,Essential: Hands on experience in SharePoint will add value.,Desirable: Certified ITIL Foundation along with either MCSD, MCDBA, OCA or OCP.",ICT Coordinator - MIS,World Vision Bangladesh
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE, Bachelor of Science (BSc) in Software Engineering, Bachelor of Science (BSc) in IT",Laravel Developer (ElasticSearch Expertise),Helix IT Solution Ltd.
Japan,"
                                                            ",Full-time,"Bachelor of Computer Application (BCA),Bachelor's degree in Computer Science / Information Technology / Computer Engineering / Robotics and / or related certifications.",Senior Software Developer (Work in JAPAN),Venturas Ltd.
Japan,"
                                                            ",Full-time,"Bachelor of Computer Application (BCA),Bachelor's degree in Computer Science / Information Technology / Computer Engineering / Robotics and / or related certifications.","Mobile Developer (Android, iOS), Work in JAPAN",Venturas Ltd.
Japan,"
                                                            ",Full-time,Bachelor's degree in Computer Science / Information Technology / Computer Engineering / Robotics and / or related certifications,Software Developer (Junior level) Work in JAPAN,Venturas Ltd.
Dhaka,"
                                                            Tk. 100000 - 150000 (Monthly)
                                                            ",Full-time,Bachelor of Science (BSc),Senior Android Developer,Gakk Media Limited
Dhaka (Mohakhali),"
                                                            Tk. 18000 - 30000 (Monthly)
                                                            ",Full-time,"Bachelor in Engineering (BEngg) in CSE, Diploma in Engineering,We always care about the person and his/her skills, so any academic achievement always relax for experienced and skilled candidate.",Front-End Developer,Softnio
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc),B.Sc. in Computer Science from any reputed University.",Game Developer,B2M Technologies Ltd.
Dhaka,"
                                                            ",Full-time,At least B.Sc. degree in Computer Science from a reputed university.,Laravel Web Developer,Annanovas IT Ltd.
Dhaka,"
                                                            Tk. 100000 - 150000 (Monthly)
                                                            ",Full-time,Bachelor of Science (BSc),Senior iOS developer,Gakk Media Limited
Dhaka (Gulshan),"
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science,4-year Graduation in CSE / EEE / Applied Physics or related subjects.",IT Executive,International Relocation Assistance Services
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Diploma in Engineering, Bachelor degree in any discipline",Network Engineer,Vision 2020
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"MS/ PhD in CS or CSE or related subjects from any reputed Public Engineering University (BUET, KUET, SUST, DU & Others)",Senior Software Engineer,REVE Systems
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science,B.Sc. Degree, in Computer Science/ Engineering from any reputed university.",Junior Software Engineer (.NET),Global Software Architects
"Dhaka, Habiganj, Narsingdi","
                                                            Negotiable
                                                            ",Full-time,B.Sc in CSE/ IT from reputed public university,Support Engineer - MIS,PRAN-RFL Group
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Bachelor/Masters degree in IT with marketing concentration or equivalent.,Teacher (ICT/ Computer Science),Faith International School
Dhaka (Gulshan),"
                                                            Negotiable
                                                            ",Full-time,"Degree or Diploma of Computer Application (BCA),Degree or Diploma in Information Technology field. Along with in depth knowledge of Microsoft Operating systems.","Executive (IT, Media and Automation)",Brand Maker Property Developments  Ltd.
,,Full-time,বাংলাদেশের যেকোন বিশ্ব বিদ্যালয় থেকে IT তে graduation হতে হবে।,,
Dhaka,"
                                                            ",Full-time,"Bachelor of Business Administration (BBA) in Marketing, Bachelor of Science (BSc) in Computer Science, Master of Business Administration (MBA),Preferred Professional Certification: AWS",Business Development Manager,Genesis Solutions Ltd
Dhaka,,Full-time,At least 2 year(s),Android Software Developer,Bagdoom.com
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"B.Sc or M.Sc in Computer Science, or related subject from a reputed local (Public and Private both) or international university.",Server Administrator,EyHost Ltd.
Dhaka,,Full-time,Diploma in Graphic Design,Graphic Designer,Mission Foundry Ltd.
Dhaka,,Full-time,Minimum B.Sc. in Computer Science & Engineering from a reputed university.,Jr./Software Engineer (Magento),Bagdoom.com
Dhaka,,Full-time,B.Sc or M.Sc in Computer Science/ Engineering or equivalent.,Software QA Engineer,Enosis Solutions
Dhaka,"
                                                            ",Full-time,"Graduation in Computer Science, Business Studies or  related subject",Business Development Coordinator,A Renowned Software Company
"Dhaka, Dhaka Division","
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science,Relaxed for candidates with noticeable experience",Senior Software Engineer,Bit Mascot (Pvt.) Ltd.
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,At least 1 year(s),Software Engineer,Kaz Software
Anywhere in Bangladesh,"
                                                            ",Full-time,Top ranked business / engineering University.,Regional Service Manager,One of the Largest Conglomerates in Service Sector
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc) in CSE,Database Administrator,IBCS-PRIMAX Software (Bangladesh) Ltd.
Dhaka (Savar),"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc) in Software Development,Software Developer (VB.Net),Sparkle Knit Composite Ltd
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,MSc or B.Sc. in Computer Science & Engineering (CSE) or relevant subject from any reputed institute/ university.,Manager - IT,Generation Next Fashion Ltd.
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Bachelor degree in any discipline,Game Developer - Unity,tamubytes
Dhaka,"
                                                            ",Full-time,"B.Sc. in Computer Science,CCNA & RHCE certified will have extra advantage",Executive - IT Services,One of the Largest Group of Companies in Bangladesh
Dhaka,"
                                                            ",Full-time,B.Sc. in Computer Science from any reputed university,Network & Security Executive,One of the Best Group of Companies in Service Sector
Dhaka,"
                                                            ",Full-time,B. Sc/ M.Sc./ BBA/ MBA,Product Manager (Financial Services),Commlink Info Tech Limited
Anywhere in Bangladesh,"
                                                            ",Full-time,"Bachelor of Computer Application (BCA) in CSE,Patuakhali Science and Technology University,Pabna University of Science and Technology,Hajee Mohammad Danesh Science and Technology University,Ahsanullah University of Science and Technology,Army University of Science and Technology(BAUST), Saidpur students will get preference",PHP Web Developer,Turret Global
Dhaka,"
                                                            ",Full-time,"B.Sc. in Telecommunications, IT, Computer Science/ Equivalent",Assistant Manager - ERP,One of the Largest Group of Companies in Service Sector
Dhaka,,Full-time,Diploma in CSE/EEE/Graduation in any discipline.,Technical Support Engineer,Computer City Technologies Ltd.
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,Bachelor degree in any discipline,"Executive, Customer Service",Global Brand Pvt. Ltd.
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"B.Sc/ M.Sc in Computer Science from BUET/ SUST/ MIST/ RUET/ KUET/ CUET. Besides, adequate training, knowledge & experience in Web Design, Web Engineering, eCommerce Site Development and Maintenance will be required. However, Candidates from BUET & SUST will get preference.",Head of eCommerce Portal,Excel Telecom (Pvt.) Ltd. (National Distributor of SAMSUNG)
Dhaka,"
                                                            Tk. 188945 (Monthly)
                                                            ",Contractual,Bachelor's degree in Computer Science or related field with a minimum of five (5) years of work experience in a related role with experience in hardware and software operations.  Educational and progressive work experience may be substituted for a bachelor's degree at management's discretion.,MIS Operations Support Officer,United Nations World Food Programme (WFP)
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc) in Computer Science & Engineering.,Website Analyst and Digital Marketing Executive,YesFrankBooks Limited
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor degree in any discipline,Bachelor's degree in Fine Arts/ Any Graphics Degree preferred.",Web/ Mobile Games Graphics Designer,A Group of Company
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor degree in any discipline,Bachelor's degree in Engineering, Computer Science or Information Technology preferred.","Sr. Engineer/ Engineer, Web Development",A Group Of Company
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor degree in any discipline,Bachelor's degree in Computer Science /Engineering.",QA Engineer - Web/ Mobile Games,A Group of Company
Dhaka,"
                                                            Tk. 12000 - 18000 (Monthly)
                                                            ",Full-time,Graduate/BBA/Honors/CSE/EEE/Diploma in ICT,Executive IT,Intimacy Computer & Solutions
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor degree in any discipline,Bachelor's degree in Engineering, Computer Science or Information Technology preferred.","Sr. Engineer/ Engineer, Games/ Apps Development",A group of Company
Dhaka (Mirpur),"
                                                            Negotiable
                                                            ","Full-time, Part-time",Bachelor of Science (B.Sc) in Computer,Software Engineer (PHP),Nanoba Technology
"Dhaka Division, Dhaka (Mohakhali)","
                                                            ",Full-time,Master of Business Administration (MBA),Manager Marketing,CoLoCity Data Centre
Anywhere in Bangladesh,"
                                                            Tk. 10000 - 12000 (Monthly)
                                                            ",Full-time,"Diploma in Business Studies, HSC, Bachelor of Computer Application (BCA),Courses on SEO, Google AdWords, Content Management Systems, Social Media etc. will add preferences",Digital Marketing Specialist,Community Ecotourism
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Preferably B.Sc or M.Sc or equivalent degree from a reputed university.,Advanced JAVA Programmer,ORBUND
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,B.Sc/ Diploma in computer science & Engineering.,"Executive/ Sr. Executive, Customer Support",BRACNet Limited
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,Diploma in Engineering in Electrical  Electronic Engineering,Data Center Technician,TigerIT Bangladesh Limited
